# aws_region,country_code,region_code,city,postal
us-west-2-lax-1,US,US-CA,Los Angeles,
us-west-2-pdx-1,US,US-OR,Portland,
us-west-2-phx-1,US,US-AZ,Phoenix,
us-west-2-phx-2,US,US-AZ,Phoenix,
us-west-2-pilot-1,US,US-WA,Seattle,98144
us-west-2-pilot-2,US,US-WA,Seattle,98144
us-west-2-pilot-3,US,US-WA,Seattle,98144
us-west-2-sea-1,US,US-WA,Seattle,
us-west-2,US,US-OR,Hermiston,
us-west-2-wl1-den-wlz-1,US,US-CO,Denver,
us-west-2-wl1-las-wlz-1,US,US-NV,Las Vegas,
us-west-2-wl1-lax-wlz-1,US,US-CA,Los Angeles
us-west-2-wl1-phx-wlz-1,US,US-AZ,Phoenix,
us-west-2-wl1-sea-wlz-1,US,US-WA,Seattle,
us-west-2-wl1-sfo-wlz-1,US,US-CA,San Francisco Bay Area,
